ISBN,ID,Title,Author,Publisher,Genre,Language,Copies,Borrowed,Maintenance
978-502841,#10001,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,Mystery,English,3,0,3
978-865157,#10002,The Lord of the Rings,J.R.R. Tolkien,Simon & Schuster,Fiction,English,1,0,1
978-382382,#10003,To Kill a Mockingbird,Harper Lee,Houghton Mifflin Harcourt,Fantasy,English,4,0,3
978-281396,#10004,The Great Gatsby,F. Scott Fitzgerald,Houghton Mifflin Harcourt,Fantasy,English,4,2,1
978-313241,#10005,1984,George Orwell,Alfred A. Knopf,NonFiction,English,5,1,2
978-156288,#10006,To Kill a Mockingbird,Harper Lee,Simon & Schuster,Fiction,English,5,2,2
978-893128,#10007,The Lord of the Rings,J.R.R. Tolkien,Houghton Mifflin Harcourt,Mystery,English,2,0,1
978-655871,#10008,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Fantasy,English,3,0,3
978-576749,#10009,The Great Gatsby,F. Scott Fitzgerald,Penguin Random House,Fiction,English,5,1,0
978-531647,#10010,The Great Gatsby,F. Scott Fitzgerald,Penguin Random House,Education,English,4,4,0
978-338224,#10011,The Great Gatsby,F. Scott Fitzgerald,HarperCollins Publishers,Fantasy,English,2,1,0
978-268574,#10012,To Kill a Mockingbird,Harper Lee,Penguin Random House,Fiction,English,4,2,1
978-366683,#10013,The Great Gatsby,F. Scott Fitzgerald,Alfred A. Knopf,Education,English,6,4,1
978-937089,#10014,1984,George Orwell,Penguin Random House,NonFiction,English,3,2,0
978-296734,#10015,The Great Gatsby,F. Scott Fitzgerald,Houghton Mifflin Harcourt,Education,English,3,1,2
978-139340,#10016,The Great Gatsby,F. Scott Fitzgerald,Alfred A. Knopf,Education,English,5,3,0
978-224977,#10017,Pride and Prejudice,Jane Austen,Houghton Mifflin Harcourt,Mystery,English,3,2,0
978-976788,#10018,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Education,English,5,2,2
978-737327,#10019,1984,George Orwell,HarperCollins Publishers,NonFiction,English,5,0,1
978-289004,#10020,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Fiction,English,4,4,0
978-535792,#10021,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Fiction,English,4,3,1
978-599014,#10022,1984,George Orwell,Houghton Mifflin Harcourt,Fiction,English,4,0,4
978-677480,#10023,The Lord of the Rings,J.R.R. Tolkien,Houghton Mifflin Harcourt,Fiction,English,3,3,0
978-922891,#10024,Pride and Prejudice,Jane Austen,Simon & Schuster,Fantasy,English,2,1,0
978-438618,#10025,The Great Gatsby,F. Scott Fitzgerald,Penguin Random House,Education,English,5,5,0
978-705637,#10026,1984,George Orwell,Penguin Random House,NonFiction,English,2,1,1
978-810841,#10027,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,Education,English,2,1,1
978-726119,#10028,1984,George Orwell,Alfred A. Knopf,NonFiction,English,2,1,0
978-101023,#10029,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Education,English,3,3,0
978-784752,#10030,Pride and Prejudice,Jane Austen,Simon & Schuster,Mystery,English,4,2,1
978-929317,#10031,Pride and Prejudice,Jane Austen,Simon & Schuster,NonFiction,English,5,2,2
978-954396,#10032,Pride and Prejudice,Jane Austen,Simon & Schuster,Fantasy,English,1,0,0
978-763377,#10033,Pride and Prejudice,Jane Austen,HarperCollins Publishers,NonFiction,English,3,2,1
978-395386,#10034,The Great Gatsby,F. Scott Fitzgerald,HarperCollins Publishers,NonFiction,English,3,3,0
978-122100,#10035,1984,George Orwell,Penguin Random House,Education,English,4,4,0
978-946498,#10036,1984,George Orwell,Houghton Mifflin Harcourt,Fantasy,English,3,1,1
978-643821,#10037,The Great Gatsby,F. Scott Fitzgerald,Alfred A. Knopf,Fantasy,English,5,0,5
978-638412,#10038,1984,George Orwell,Houghton Mifflin Harcourt,Fiction,English,5,4,1
978-946084,#10039,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,NonFiction,English,4,2,0
978-424044,#10040,To Kill a Mockingbird,Harper Lee,Penguin Random House,Fantasy,English,3,2,0
978-770962,#10041,The Lord of the Rings,J.R.R. Tolkien,HarperCollins Publishers,Education,English,1,0,0
978-686862,#10042,Pride and Prejudice,Jane Austen,HarperCollins Publishers,NonFiction,English,4,1,2
978-897747,#10043,To Kill a Mockingbird,Harper Lee,HarperCollins Publishers,Fiction,English,1,0,1
978-673692,#10044,The Lord of the Rings,J.R.R. Tolkien,Simon & Schuster,NonFiction,English,1,1,0
978-584304,#10045,Pride and Prejudice,Jane Austen,Simon & Schuster,Mystery,English,2,2,0
978-829292,#10046,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,NonFiction,English,1,1,0
978-863137,#10047,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,Fiction,English,4,0,1
978-363717,#10048,The Great Gatsby,F. Scott Fitzgerald,HarperCollins Publishers,NonFiction,English,4,3,1
978-938749,#10049,The Lord of the Rings,J.R.R. Tolkien,Simon & Schuster,Fiction,English,1,0,0
978-940061,#10050,1984,George Orwell,Simon & Schuster,Education,English,1,1,0
978-454731,#10051,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,Education,English,5,4,0
978-278364,#10052,Pride and Prejudice,Jane Austen,Alfred A. Knopf,Mystery,English,2,2,0
978-546740,#10053,1984,George Orwell,Simon & Schuster,Fiction,English,1,1,0
978-731515,#10054,To Kill a Mockingbird,Harper Lee,Penguin Random House,NonFiction,English,4,3,0
978-863868,#10055,1984,George Orwell,HarperCollins Publishers,Fiction,English,4,0,3
978-237586,#10056,Pride and Prejudice,Jane Austen,Houghton Mifflin Harcourt,Education,English,1,1,0
978-793432,#10057,The Lord of the Rings,J.R.R. Tolkien,Simon & Schuster,Fiction,English,4,0,0
978-328256,#10058,To Kill a Mockingbird,Harper Lee,Penguin Random House,Education,English,1,0,1
978-709858,#10059,The Great Gatsby,F. Scott Fitzgerald,Penguin Random House,NonFiction,English,2,1,1
978-932898,#10060,The Great Gatsby,F. Scott Fitzgerald,Simon & Schuster,NonFiction,English,4,2,2
