BID,ID,UID,IDate,RDate
#00001,#10012,#00030,03-10-2024,-
#00002,#10034,#00024,03-10-2024,04-10-2024
#00003,#10014,#00023,03-10-2024,-
#00004,#10044,#00018,03-10-2024,15-10-2024
#00005,#10032,#00009,03-10-2024,05-10-2024
#00006,#10052,#00029,03-10-2024,11-10-2024
#00007,#10009,#00030,03-10-2024,18-10-2024
#00008,#10031,#00007,03-10-2024,18-10-2024
#00009,#10012,#00021,03-10-2024,11-10-2024
#00010,#10004,#00014,03-10-2024,06-10-2024
#00011,#10024,#00030,04-10-2024,06-10-2024
#00012,#10039,#00003,04-10-2024,14-10-2024
#00013,#10040,#00020,04-10-2024,10-10-2024
#00014,#10033,#00008,04-10-2024,17-10-2024
#00015,#10056,#00030,04-10-2024,13-10-2024
#00016,#10032,#00023,04-10-2024,-
#00017,#10028,#00027,04-10-2024,05-10-2024
#00018,#10009,#00023,05-10-2024,16-10-2024
#00019,#10042,#00014,05-10-2024,06-10-2024
#00020,#10030,#00024,05-10-2024,13-10-2024
#00021,#10010,#00019,05-10-2024,05-10-2024
#00022,#10059,#00002,05-10-2024,08-10-2024
#00023,#10054,#00016,05-10-2024,09-10-2024
#00024,#10031,#00009,05-10-2024,10-10-2024
#00025,#10027,#00012,05-10-2024,-
#00026,#10058,#00030,05-10-2024,15-10-2024
#00027,#10014,#00027,06-10-2024,17-10-2024
#00028,#10009,#00007,06-10-2024,08-10-2024
#00029,#10033,#00001,06-10-2024,14-10-2024
#00030,#10018,#00015,06-10-2024,07-10-2024
#00031,#10033,#00018,06-10-2024,11-10-2024
#00032,#10041,#00010,06-10-2024,-
#00033,#10016,#00002,07-10-2024,-
#00034,#10017,#00026,07-10-2024,-
#00035,#10012,#00029,07-10-2024,-
#00036,#10032,#00006,07-10-2024,13-10-2024
#00037,#10057,#00013,07-10-2024,13-10-2024
#00038,#10028,#00013,07-10-2024,17-10-2024
#00039,#10038,#00013,07-10-2024,09-10-2024
#00040,#10044,#00024,07-10-2024,07-10-2024
#00041,#10007,#00008,08-10-2024,08-10-2024
#00042,#10052,#00007,08-10-2024,11-10-2024
#00043,#10009,#00001,08-10-2024,-
#00044,#10031,#00025,08-10-2024,15-10-2024
#00045,#10016,#00017,08-10-2024,15-10-2024
#00046,#10041,#00027,08-10-2024,08-10-2024
#00047,#10053,#00010,08-10-2024,11-10-2024
#00048,#10026,#00020,08-10-2024,14-10-2024
#00049,#10049,#00021,08-10-2024,18-10-2024
#00050,#10020,#00016,09-10-2024,-
#00051,#10043,#00009,09-10-2024,10-10-2024
#00052,#10053,#00026,09-10-2024,15-10-2024
